 	Area	Mean	StdDev	Mode	Min	Max	IntDen	Median	RawIntDen
383	83	62.120	15.922	53	26	98	5156	59	5156
384	2	42.500	23.335	26	26	59	85	59	85
385	23	66.609	19.702	66	26	112	1532.000	66	1532.000
386	135	58.630	20.190	66	7	112	7915.000	59	7915.000
387	139	118.763	36.714	92	46	210	16508	118	16508
388	1	79	0	79	79	79	79	79	79
389	127	63.402	19.808	72	20	112	8052	66	8052
390	192	113.354	32.729	118	33	197	21764	118	21764
391	111	60.730	19.449	46	13	118	6741	59	6741
392	95	59.684	20.513	53	7	98	5670	59	5670
393	204	116.387	49.206	144	33	243	23743	112	23743
394	118	155.017	29.703	144	72	217	18292	151	18292
395	196	169.628	43.813	190	53	255	33247	171	33247
396	16	92.188	37.394	98	39	144	1475	98	1475
397	102	137.578	45.090	144	33	255	14033.000	138	14033.000
398	115	64.817	20.191	72	20	118	7454	66	7454
399	73	61.370	19.867	59	20	105	4480	59	4480
400	75	67.440	18.485	66	26	112	5058	66	5058
401	37	108.865	30.735	85	33	177	4028	105	4028
402	1	72	0	72	72	72	72	72	72
403	1	144	0	144	144	144	144	144	144
404	3	72.333	17.010	53	53	85	217	79	217
405	1	138	0	138	138	138	138	138	138
406	5	57.800	16.146	72	33	72	289	59	289
407	2	56	14.142	46	46	66	112	66	112
408	1	98	0	98	98	98	98	98	98
409	1	92	0	92	92	92	92	92	92
410	1	125	0	125	125	125	125	125	125
